Species,Trait,GBLUP_median_h2_wiser,GBLUP_median_h2_ls_means,GBLUP_median_h2_blups
Rice,FL,0.87 (0.02),0.53 (0.06),0.33 (0.11)
Rice,PH,0.86 (0.03),0.76 (0.03),0.73 (0.04)
Rice,YLD,0.82 (0.04),0.73 (0.05),0.68 (0.06)
Rice,ZN,0.84 (0.03),0.55 (0.10),0.50 (0.12)
Maize,anthesis,0.96 (0.02),0.93 (0.03),0.90 (0.03)
Maize,anthesis.silking.interval,0.82 (0.05),0.66 (0.11),0.55 (0.15)
Maize,ear.height,0.69 (0.05),0.60 (0.14),0.55 (0.14)
Maize,grain.number,0.96 (0.02),0.86 (0.06),0.78 (0.09)
Maize,grain.weight,0.65 (0.06),0.83 (0.06),0.63 (0.16)
Maize,grain.yield,0.97 (0.02),0.93 (0.04),0.88 (0.07)
Maize,plant.height,0.68 (0.05),0.34 (0.15),0.33 (0.15)
Maize,silking,0.71 (0.04),0.92 (0.04),0.90 (0.05)
Maize,tassel.height,0.68 (0.04),0.54 (0.12),0.20 (0.38)
Apple,Color_over,0.90 (0.03),0.84 (0.03),0.80 (0.05)
Apple,Flowering_begin,1.00 (0.01),0.94 (0.02),0.93 (0.03)
Apple,Flowering_end,0.96 (0.01),0.73 (0.03),0.72 (0.04)
Apple,Flowering_full,0.94 (0.02),0.67 (0.06),0.67 (0.05)
Apple,Flowering_intensity,0.77 (0.03),0.66 (0.04),0.56 (0.07)
Apple,Fruit_number,0.76 (0.03),0.65 (0.04),0.47 (0.07)
Apple,Fruit_weight,0.75 (0.03),0.59 (0.03),0.47 (0.05)
Apple,Fruit_weight_single,0.93 (0.02),0.81 (0.04),0.79 (0.05)
Apple,Harvest_date,1.00 (0.00),0.92 (0.02),0.88 (0.02)
Apple,Powdery_mildew,0.74 (0.04),0.51 (0.05),0.51 (0.05)
Apple,Russet_freq_all,0.81 (0.04),0.67 (0.06),0.54 (0.10)
Apple,Scab,0.68 (0.04),0.44 (0.05),0.44 (0.04)
Apple,Trunk_diameter,0.82 (0.03),0.59 (0.04),0.52 (0.05)
Apple,Trunk_increment,0.59 (0.04),0.53 (0.04),0.46 (0.06)
Pine,D,0.95 (0.03),0.00 (0.17),0.00 (0.07)
Pine,H,0.97 (0.01),0.30 (0.39),0.00 (0.00)
Pine,I,0.73 (0.16),0.00 (0.01),0.00 (0.00)
Pine,T4,0.63 (0.16),0.54 (0.22),0.62 (0.22)
Pine,T5,0.47 (0.32),0.30 (0.44),0.26 (0.51)
Pine,T6,0.28 (0.34),0.08 (0.31),0.00 (0.11)
