Species,Trait,GBLUP_h2_wiser,GBLUP_h2_ls_means,GBLUP_h2_blups
Apple,Color_over,0.90 (0.03),0.84 (0.03),0.76 (0.05)
Apple,Flowering_begin,1.00 (0.01),0.94 (0.02),0.93 (0.03)
Apple,Flowering_end,0.96 (0.01),0.73 (0.03),0.69 (0.04)
Apple,Flowering_full,0.94 (0.02),0.67 (0.06),0.64 (0.05)
Apple,Flowering_intensity,0.77 (0.03),0.66 (0.04),0.56 (0.07)
Apple,Fruit_number,0.76 (0.03),0.65 (0.04),0.42 (0.08)
Apple,Fruit_weight,0.75 (0.03),0.59 (0.03),0.35 (0.08)
Apple,Fruit_weight_single,0.93 (0.02),0.81 (0.04),0.79 (0.04)
Apple,Harvest_date,1.00 (0.00),0.92 (0.02),0.88 (0.02)
Apple,Powdery_mildew,0.74 (0.04),0.51 (0.05),0.36 (0.09)
Apple,Russet_freq_all,0.81 (0.04),0.67 (0.06),0.54 (0.10)
Apple,Scab,0.68 (0.04),0.44 (0.05),0.29 (0.06)
Apple,Trunk_diameter,0.82 (0.03),0.59 (0.04),0.35 (0.11)
Apple,Trunk_increment,0.59 (0.04),0.53 (0.04),0.25 (0.14)
