Species,Trait,GBLUP_PA_wiser,GBLUP_PA_ls_means,GBLUP_PA_blups
Apple,Color_over,0.78 (0.05),0.70 (0.05),0.48 (0.07)
Apple,Flowering_begin,0.92 (0.02),0.64 (0.09),0.55 (0.09)
Apple,Flowering_end,0.84 (0.04),0.44 (0.10),0.36 (0.10)
Apple,Flowering_full,0.80 (0.04),0.40 (0.10),0.33 (0.09)
Apple,Flowering_intensity,0.66 (0.09),0.52 (0.09),0.32 (0.11)
Apple,Fruit_number,0.78 (0.04),0.67 (0.06),0.34 (0.10)
Apple,Fruit_weight,0.78 (0.04),0.65 (0.06),0.30 (0.10)
Apple,Fruit_weight_single,0.73 (0.05),0.58 (0.07),0.52 (0.09)
Apple,Harvest_date,0.92 (0.02),0.76 (0.06),0.59 (0.07)
Apple,Powdery_mildew,0.56 (0.08),0.40 (0.10),0.28 (0.10)
Apple,Russet_freq_all,0.60 (0.07),0.46 (0.09),0.36 (0.10)
Apple,Scab,0.56 (0.09),0.33 (0.10),0.21 (0.12)
Apple,Trunk_diameter,0.66 (0.06),0.50 (0.06),0.28 (0.09)
Apple,Trunk_increment,0.51 (0.07),0.49 (0.06),0.25 (0.12)
